20/12/2018/ 21:47:27,32°C
20/12/2018/ 21:47:30,32°C
20/12/2018/ 21:47:31,32°C
20/12/2018/ 21:47:33,32°C
20/12/2018/ 21:47:34,32°C
20/12/2018/ 21:47:36,32°C
20/12/2018/ 21:47:38,32°C
20/12/2018/ 21:47:40,32°C
20/12/2018/ 21:47:41,32°C
